School,Grade,Housing Status,Adult Household,EL,Special Ed.,Services,Living Status,year,GT,greater_than_four
Truman,7,> 1 family,1 parent,,,,,2010-2011,,
Truman,7,friends or family,2 parents,,,,,2010-2011,,
Primrose,4,> 1 family,1 parent & another adult,,,,,2010-2011,,
Southridge,7,> 1 family,1 parent,,,,,2010-2011,,
Alder,7,> 1 family,1 parent,,Yes,,,2010-2011,,
Porter,5,other,1 parent & another adult,,,,,2010-2011,,
Redwood,3,friends or family,2 parents,,,,,2010-2011,,
Chaparral,2,friends or family,relative/another adult,,,,,2010-2011,,
Date,4,> 1 family,1 parent,,,,,2010-2011,,
Almeria,6,> 1 family,2 parents,,,,,2010-2011,,
Tokay,K,> 1 family,2 parents,,,,,2010-2011,,
Cypress,K,> 1 family,2 parents,,,,,2010-2011,,
Redwood,2,trailer park,2 parents,,,,,2010-2011,,
Alder,8,friends or family,1 parent,,,,,2010-2011,,
S. Tamarind,K,friends or family,2 parents,,,,,2010-2011,,
Oleander,2,> 1 family,2 parents,,,,,2010-2011,,
Oleander,K,> 1 family,2 parents,,,,,2010-2011,,
Date,K,> 1 family,2 parents,,,,,2010-2011,,
Redwood,6,"in a car, trailer park, or campsite",1 parent,,,,,2010-2011,,
Fontana M.S.,7,> 1 family,2 parents,,,,,2010-2011,,
Juniper,1,> 1 family,2 parents,,,,,2010-2011,,
Fontana M.S.,8,> 1 family,2 parents,,,,,2010-2011,,
Almeria,7,> 1 family,2 parents,,,,,2010-2011,,
Chaparral,5,> 1 family,1 parent & another adult,,,,,2010-2011,,
Chaparral,4,> 1 family,2 parents,,,,,2010-2011,,
Miller,10,> 1 family,1 parent,,,,,2010-2011,,
Truman,8,> 1 family,2 parents,,Yes,,,2010-2011,,
Southridge,6,friends or family,2 parents,,,,,2010-2011,,
Truman,6,> 1 family,2 parents,,Yes,,,2010-2011,,
Jurupa,9,>1 family,2 parents,,,,,2010-2011,,
Citrus ,5,>1 family,2 parents,,,,,2010-2011,,
Citrus ,1,>1 family,2 parents,,,,,2010-2011,,
Oak Park,3,> 1 family,2 parents,,,,,2010-2011,,
Oak Park,3,> 1 family,2 parents,,,,,2010-2011,,
Porter,4,>1 family,2 parents,,,,,2010-2011,,
Jurupa,10,friends or family,1 parent,,,,,2010-2011,,
Fohi,10,in a shelter,1 parent,,Yes,,,2010-2011,,
Jurupa,9,> 1 family,1 parent & another adult,,,,,2010-2011,,
Ruble,7,> 1 family,1 parent,,,,,2010-2011,,
Ruble,7,> 1 family,2 parents,,,,,2010-2011,,
Alder,7,> 1 family,1 parent,,,,,2010-2011,,
Truman,6,in a shelter,1 parent,,Yes,,,2010-2011,,
Randall Pepper,5,> 1 family,1 parent,,,,,2010-2011,,
Cypress,2,> 1 family,1 parent,,,,,2010-2011,,
Cypress,1,in a permanent house or apartment,1 parent,,,,,2010-2011,,
Citrus,1,> 1 family,1 parent & another adult,,,,,2010-2011,,
Citrus,K,friends or family,1 parent,,,,,2010-2011,,
Citrus,3,> 1 family,1 parent & another adult,,,,,2010-2011,,
Ruble,7,> 1 family,2 parents,,,,,2010-2011,,
Sierra Lakes,1,>1 family,2 parents,,,,,2010-2011,,
Cypress,3,> 1 family,2 parents,,,,,2010-2011,,
Redwood,K,> 1 family,2 parents,,,,,2010-2011,,
Redwood,6,> 1 family,2 parents,,,,,2010-2011,,
Citrus,K,> 1 family,2 parents,,,,,2010-2011,,
Oleander,K,> 1 family,1 parent,,,,,2010-2011,,
A.B. Miller,12,> 1 family,1 parent,,,,,2010-2011,,
Binks,K,> 1 family,2 parents,,,,,2010-2011,,
Grant,K,in a foster care,1 parent,,,,,2010-2011,,
Oak Park,1,> 1 family,2 parents,,,,,2010-2011,,
Kaiser H.S.,12,friends or family, 1 parent,,,,,2010-2011,,
Tokay,4,> 1 family,1 parent,,,,,2010-2011,,
Juniper,4,motel,1 parent,,,,,2010-2011,,
Oleander,3,motel,1 parent,,,,,2010-2011,,
Porter,2,"in a car, trailer park, or campsite",2 parents,,,,,2010-2011,,
Alder,6,> 1 family,1 parent & another adult,,,,,2010-2011,,
Southridge,8,> 1 family,2 parents,,,,,2010-2011,,
