id,furn_type,address,permit_issued,installed,lat,lon
887,Shelter ,1245 S La Brea SB La Brea Ave. @ Dockweiler St.,Yes,,34.0521909,-118.3443073
888,Shelter ,1140 S. La Brea Ave NB La Brea Ave FS Edgewood Pl,Yes,,34.054792,-118.343425
889,Shelter ,1115 La Brea Ave.SB La Brea Ave. NS Edgewood Pl,Yes ,Yes,34.0544895,-118.3439332
890,Shelter ,1007 S La Brea EB Olympic Bl.  NS La Brea Ave.,Yes,,34.0568563,-118.3461486
891,Shelter ,2201 Washington Bl  SB Western Ave. NS Washington Bl,Yes,,34.0403624,-118.3093615
892,Shelter ,1903 S Harvard Blvd EB Washington Blvd NS Harvard Blvd,Yes,,34.039712,-118.304759
893,Shelter ,1842 Arlington  WB Washington Bl NS Arlington Ave.,Yes,,34.040241,-118.317466
894,Shelter ,1907 Arlington Ave SB Arlington Ave FS Washington Blvd,Yes,,34.0395588,-118.3180805
895,Shelter ,2181 W Washington Bl  WB Washington Bl NS Western Ave,Yes,,34.0402791,-118.3085225
896,Shelter ,2341 W. Washington Bl  WB Washington Bl FS Gramercy P.,Yes ,Yes,34.04015,-118.313432
897,Shelter ,2350 W. Washington Bl.  EB Washington Bl  NS Gramercy Pl.,Yes,,34.039601,-118.313545
898,Shelter ,NB Arlington Ave NS Pico Blvd,Yes,,34.047181,-118.3176026
899,Shelter ,3405 Pico Bl.  SB Arlington Ave. NS Pico Bl,Yes,,34.0473803,-118.317937
900,Shelter ,3615 Olympic Bl  WB Olympic Bl NS 4th Ave.,Yes ,Yes,34.0532485,-118.3180398
901,Shelter ,3610 Venice Bl  EB Venice Bl NS 6th Ave.,Yes,,34.043368,-118.3238666
902,Shelter ,1601 S. Crenshaw Bl  EB Venice Bl NS Crenshaw Bl.,Yes,,34.0445899,-118.3289023
903,Shelter ,4159 Venice Bl.  WB Venice Bl NS Crenshaw Bl,Yes,,34.0444906,-118.3278008
904,Shelter ,4650 W. Olympic Bl  EB Olympic Bl NS Muirfield R.,Yes,,34.055405,-118.3329852
905,Shelter ,1001 S. Highland Ave.  EB Olympic Bl NS Highland Ave.,Yes,,34.0568549,-118.3403071
906,Shelter ,EB Nat'l Bl FS Robertson Bl,Yes,,34.0312268,-118.3909006
907,Shelter ,5050 Adams  EB Adams Bl NS La Brea,Yes ,Yes,34.0325,-118.3515002
908,Shelter ,5212 W.Adams  EB Adams FS Redondo,Yes,,34.0317797,-118.3559856
909,Shelter ,5807 W.Adams WB Adams NS Fairfax,Yes ,Yes,34.0324665,-118.3702767
