LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,KAREN BASS,R ADAM KING,MERVIN EVANS
LOS ANGELES,9001026C,3524,148,N,0,VBM PORTION,43,35,4,1
LOS ANGELES,9001026C,3524,148,N,1025,TOTAL,101,72,5,13
LOS ANGELES,9001030A,3526,148,N,1133,POLLING PLACE,96,58,10,6
LOS ANGELES,9001030A,3526,148,N,0,VBM PORTION,53,46,4,1
LOS ANGELES,9001030A,3526,148,N,1133,TOTAL,149,104,14,7
LOS ANGELES,9001046D,3535,141,N,794,POLLING PLACE,36,16,4,7
LOS ANGELES,9001046D,3535,141,N,0,VBM PORTION,25,14,3,5
LOS ANGELES,9001046D,3535,141,N,794,TOTAL,61,30,7,12
LOS ANGELES,9001046R,3536,141,N,726,POLLING PLACE,13,8,2,1
LOS ANGELES,9001046R,3536,141,N,0,VBM PORTION,9,7,0,2
LOS ANGELES,9001046R,3536,141,N,726,TOTAL,22,15,2,3
LOS ANGELES,9001111A,3569,116,N,1174,POLLING PLACE,84,59,12,6
LOS ANGELES,9001111A,3569,116,N,0,VBM PORTION,71,59,8,3
LOS ANGELES,9001111A,3569,116,N,1174,TOTAL,155,118,20,9
LOS ANGELES,9001137C,3581,114,N,592,POLLING PLACE,53,34,9,1
LOS ANGELES,9001137C,3581,114,N,0,VBM PORTION,51,33,11,2
LOS ANGELES,9001137C,3581,114,N,592,TOTAL,104,67,20,3
LOS ANGELES,9001165A,3588,114,N,1000,POLLING PLACE,118,82,21,6
LOS ANGELES,9001165A,3588,114,N,0,VBM PORTION,109,66,26,4
LOS ANGELES,9001165A,3588,114,N,1000,TOTAL,227,148,47,10
LOS ANGELES,9001175A,3592,116,N,1323,POLLING PLACE,131,77,40,6
LOS ANGELES,9001175A,3592,116,N,0,VBM PORTION,163,114,31,7
LOS ANGELES,9001175A,3592,116,N,1323,TOTAL,294,191,71,13
LOS ANGELES,9001189B,3601,148,N,957,POLLING PLACE,86,58,9,1
LOS ANGELES,9001189B,3601,148,N,0,VBM PORTION,34,25,2,3
LOS ANGELES,9001189B,3601,148,N,957,TOTAL,120,83,11,4
LOS ANGELES,9001220C,3613,109,N,1060,POLLING PLACE,101,61,25,3
LOS ANGELES,9001220C,3613,109,N,0,VBM PORTION,128,88,19,7
LOS ANGELES,9001220C,3613,109,N,1060,TOTAL,229,149,44,10
LOS ANGELES,9001249A,3623,112,N,991,POLLING PLACE,104,68,18,5
LOS ANGELES,9001249A,3623,112,N,0,VBM PORTION,118,85,20,5
LOS ANGELES,9001249A,3623,112,N,991,TOTAL,222,153,38,10
LOS ANGELES,9001250A,3624,112,N,1216,POLLING PLACE,85,60,13,4
LOS ANGELES,9001250A,3624,112,N,0,VBM PORTION,95,63,19,3
LOS ANGELES,9001250A,3624,112,N,1216,TOTAL,180,123,32,7
LOS ANGELES,9001253A,3625,112,N,1276,POLLING PLACE,115,72,30,4
LOS ANGELES,9001253A,3625,112,N,0,VBM PORTION,169,114,28,9
LOS ANGELES,9001253A,3625,112,N,1276,TOTAL,284,186,58,13
LOS ANGELES,9001256A,3626,112,N,1230,POLLING PLACE,94,58,16,6
LOS ANGELES,9001256A,3626,112,N,0,VBM PORTION,202,110,61,4
LOS ANGELES,9001256A,3626,112,N,1230,TOTAL,296,168,77,10
LOS ANGELES,9001256B,3627,113,N,348,POLLING PLACE,47,34,8,3
LOS ANGELES,9001256B,3627,113,N,0,VBM PORTION,30,11,8,2
LOS ANGELES,9001256B,3627,113,N,348,TOTAL,77,45,16,5
LOS ANGELES,9001257B,3628,113,N,1164,POLLING PLACE,112,78,21,6
LOS ANGELES,9001257B,3628,113,N,0,VBM PORTION,136,88,31,8
LOS ANGELES,9001257B,3628,113,N,1164,TOTAL,248,166,52,14
LOS ANGELES,9001271A,3631,109,N,1313,POLLING PLACE,75,43,19,4
LOS ANGELES,9001271A,3631,109,N,0,VBM PORTION,98,64,27,2
LOS ANGELES,9001271A,3631,109,N,1313,TOTAL,173,107,46,6
LOS ANGELES,9001272A,3632,112,N,1388,POLLING PLACE,107,83,11,6
LOS ANGELES,9001272A,3632,112,N,0,VBM PORTION,141,101,21,7
LOS ANGELES,9001272A,3632,112,N,1388,TOTAL,248,184,32,13
LOS ANGELES,9001274A,3633,109,N,1434,POLLING PLACE,87,54,20,3
LOS ANGELES,9001274A,3633,109,N,0,VBM PORTION,107,65,26,2
LOS ANGELES,9001274A,3633,109,N,1434,TOTAL,194,119,46,5
LOS ANGELES,9001278A,3634,109,N,1091,POLLING PLACE,112,79,14,4
LOS ANGELES,9001278A,3634,109,N,0,VBM PORTION,146,87,36,4
LOS ANGELES,9001278A,3634,109,N,1091,TOTAL,258,166,50,8
LOS ANGELES,9001279A,3635,109,N,1259,POLLING PLACE,116,67,26,5
LOS ANGELES,9001279A,3635,109,N,0,VBM PORTION,162,93,40,12
LOS ANGELES,9001279A,3635,109,N,1259,TOTAL,278,160,66,17
LOS ANGELES,9001281C,3636,109,N,1333,POLLING PLACE,118,94,9,7
LOS ANGELES,9001281C,3636,109,N,0,VBM PORTION,104,55,24,4
LOS ANGELES,9001281C,3636,109,N,1333,TOTAL,222,149,33,11
LOS ANGELES,9001283B,3637,109,N,1456,POLLING PLACE,113,74,19,5
LOS ANGELES,9001283B,3637,109,N,0,VBM PORTION,157,110,24,10
LOS ANGELES,9001283B,3637,109,N,1456,TOTAL,270,184,43,15
LOS ANGELES,9001284A,3638,109,N,1388,POLLING PLACE,120,78,19,12
LOS ANGELES,9001284A,3638,109,N,0,VBM PORTION,104,72,16,6
LOS ANGELES,9001284A,3638,109,N,1388,TOTAL,224,150,35,18
LOS ANGELES,9001290A,3640,116,N,1237,POLLING PLACE,195,138,23,16
LOS ANGELES,9001290A,3640,116,N,0,VBM PORTION,184,129,30,6
LOS ANGELES,9001290A,3640,116,N,1237,TOTAL,379,267,53,22
LOS ANGELES,9001291A,3641,116,N,1309,POLLING PLACE,94,67,12,8
LOS ANGELES,9001291A,3641,116,N,0,VBM PORTION,62,40,14,6
LOS ANGELES,9001291A,3641,116,N,1309,TOTAL,156,107,26,14
LOS ANGELES,9001295A,6186,112,Y,0,POLLING PLACE,0,0,0,0
LOS ANGELES,9001295A,6186,112,Y,0,VBM PORTION,0,0,0,0
LOS ANGELES,9001295A,6186,112,Y,0,TOTAL,0,0,0,0
LOS ANGELES,9001296A,3642,84,N,1260,POLLING PLACE,94,67,12,4
LOS ANGELES,9001296A,3642,84,N,0,VBM PORTION,87,53,17,4
LOS ANGELES,9001296A,3642,84,N,1260,TOTAL,181,120,29,8
LOS ANGELES,9001299B,3643,84,N,1319,POLLING PLACE,100,67,18,5
LOS ANGELES,9001299B,3643,84,N,0,VBM PORTION,120,86,24,3
LOS ANGELES,9001299B,3643,84,N,1319,TOTAL,220,153,42,8
LOS ANGELES,9001303A,3644,84,N,1334,POLLING PLACE,121,79,20,8
LOS ANGELES,9001303A,3644,84,N,0,VBM PORTION,95,64,21,2
LOS ANGELES,9001303A,3644,84,N,1334,TOTAL,216,143,41,10
LOS ANGELES,9001314A,3649,147,N,1230,POLLING PLACE,50,28,2,10
LOS ANGELES,9001314A,3649,147,N,0,VBM PORTION,65,53,3,7
LOS ANGELES,9001314A,3649,147,N,1230,TOTAL,115,81,5,17
LOS ANGELES,9001320A,3652,114,N,380,POLLING PLACE,44,35,5,1
LOS ANGELES,9001320A,3652,114,N,0,VBM PORTION,51,47,3,1
LOS ANGELES,9001320A,3652,114,N,380,TOTAL,95,82,8,2
LOS ANGELES,9001444A,3711,85,N,1344,POLLING PLACE,90,52,19,3
LOS ANGELES,9001444A,3711,85,N,0,VBM PORTION,108,74,15,6
LOS ANGELES,9001444A,3711,85,N,1344,TOTAL,198,126,34,9
LOS ANGELES,9001449A,3712,85,N,1321,POLLING PLACE,78,51,14,4
LOS ANGELES,9001449A,3712,85,N,0,VBM PORTION,102,66,19,6
LOS ANGELES,9001449A,3712,85,N,1321,TOTAL,180,117,33,10
LOS ANGELES,9001452A,3714,112,N,1542,POLLING PLACE,176,122,27,12
LOS ANGELES,9001452A,3714,112,N,0,VBM PORTION,170,126,20,7
LOS ANGELES,9001452A,3714,112,N,1542,TOTAL,346,248,47,19
LOS ANGELES,9001454A,3716,113,N,1115,POLLING PLACE,148,102,23,8
LOS ANGELES,9001454A,3716,113,N,0,VBM PORTION,156,92,44,6
LOS ANGELES,9001454A,3716,113,N,1115,TOTAL,304,194,67,14
LOS ANGELES,9001455A,3717,116,N,837,POLLING PLACE,112,78,24,5
LOS ANGELES,9001455A,3717,116,N,0,VBM PORTION,91,56,20,5
LOS ANGELES,9001455A,3717,116,N,837,TOTAL,203,134,44,10
LOS ANGELES,9001456A,3718,116,N,1346,POLLING PLACE,208,152,31,7
LOS ANGELES,9001456A,3718,116,N,0,VBM PORTION,171,105,47,3
LOS ANGELES,9001456A,3718,116,N,1346,TOTAL,379,257,78,10
LOS ANGELES,9001457A,3719,87,N,1309,POLLING PLACE,94,52,24,2
LOS ANGELES,9001457A,3719,87,N,0,VBM PORTION,149,75,53,8
LOS ANGELES,9001457A,3719,87,N,1309,TOTAL,243,127,77,10
LOS ANGELES,9001461A,3720,87,N,1084,POLLING PLACE,92,39,37,7
LOS ANGELES,9001461A,3720,87,N,0,VBM PORTION,78,34,32,3
LOS ANGELES,9001461A,3720,87,N,1084,TOTAL,170,73,69,10
LOS ANGELES,9001463A,3721,87,N,1205,POLLING PLACE,87,42,32,3
