LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,GEORGE MCKENNA,HATTIE B MCFRAZIER,O O MANIGAULT,G HUDLEY-HAYES,RACHEL C JOHNSON,ALEX JOHNSON,SHERLETT H NEWBILL
LOS ANGELES,9001461A,3720,87,N,0,VBM PORTION,78,13,2,6,2,3,17,8
LOS ANGELES,9001461A,3720,87,N,1084,TOTAL,170,37,5,15,8,4,30,16
LOS ANGELES,9001463A,3721,87,N,1205,POLLING PLACE,87,24,1,2,4,5,17,9
LOS ANGELES,9001463A,3721,87,N,0,VBM PORTION,121,33,4,8,8,4,14,6
LOS ANGELES,9001463A,3721,87,N,1205,TOTAL,208,57,5,10,12,9,31,15
LOS ANGELES,9001465C,3722,116,N,1308,POLLING PLACE,130,47,4,5,14,4,17,10
LOS ANGELES,9001465C,3722,116,N,0,VBM PORTION,191,59,0,6,9,8,29,8
LOS ANGELES,9001465C,3722,116,N,1308,TOTAL,321,106,4,11,23,12,46,18
LOS ANGELES,9001470B,3724,116,N,889,POLLING PLACE,66,16,2,1,9,3,12,8
LOS ANGELES,9001470B,3724,116,N,0,VBM PORTION,53,15,2,2,1,3,13,5
LOS ANGELES,9001470B,3724,116,N,889,TOTAL,119,31,4,3,10,6,25,13
LOS ANGELES,9001471A,3725,116,N,1177,POLLING PLACE,158,52,3,6,7,3,36,15
LOS ANGELES,9001471A,3725,116,N,0,VBM PORTION,156,55,8,4,6,3,36,10
LOS ANGELES,9001471A,3725,116,N,1177,TOTAL,314,107,11,10,13,6,72,25
LOS ANGELES,9001472A,3726,116,N,1345,POLLING PLACE,195,65,3,2,13,0,40,15
LOS ANGELES,9001472A,3726,116,N,0,VBM PORTION,175,38,5,12,8,3,20,11
LOS ANGELES,9001472A,3726,116,N,1345,TOTAL,370,103,8,14,21,3,60,26
