LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,PROPHET L WALKER,MICAH ALI,STEVE NEAL,MIKE GIPSON
COMPTON,1450164C,553,178,N,1069,POLLING PLACE,82,20,10,10,35
COMPTON,1450164C,553,178,N,0,VBM PORTION,41,11,9,9,12
COMPTON,1450164C,553,178,N,1069,TOTAL,123,31,19,19,47
COMPTON,1450167A,554,178,N,1121,POLLING PLACE,107,31,13,10,51
COMPTON,1450167A,554,178,N,0,VBM PORTION,58,13,6,7,27
COMPTON,1450167A,554,178,N,1121,TOTAL,165,44,19,17,78
COMPTON,1450305A,555,178,N,1265,POLLING PLACE,44,12,10,5,15
COMPTON,1450305A,555,178,N,0,VBM PORTION,47,20,1,5,14
COMPTON,1450305A,555,178,N,1265,TOTAL,91,32,11,10,29
COMPTON,1450305B,556,178,N,320,POLLING PLACE,8,5,0,0,3
COMPTON,1450305B,556,178,N,0,VBM PORTION,10,1,4,1,3
COMPTON,1450305B,556,178,N,320,TOTAL,18,6,4,1,6
DOMINGUEZ,1800020B,658,178,N,774,POLLING PLACE,101,15,16,17,45
DOMINGUEZ,1800020B,658,178,N,0,VBM PORTION,46,8,1,11,19
DOMINGUEZ,1800020B,658,178,N,774,TOTAL,147,23,17,28,64
DOMINGUEZ,1800021A,659,178,N,834,POLLING PLACE,122,24,11,19,55
DOMINGUEZ,1800021A,659,178,N,0,VBM PORTION,58,11,4,7,27
DOMINGUEZ,1800021A,659,178,N,834,TOTAL,180,35,15,26,82
EAST COMPTON,1960001A,740,178,N,514,POLLING PLACE,16,2,2,5,4
EAST COMPTON,1960001A,740,178,N,0,VBM PORTION,8,3,2,2,1
EAST COMPTON,1960001A,740,178,N,514,TOTAL,24,5,4,7,5
EAST COMPTON,1960003A,741,178,N,1162,POLLING PLACE,47,10,6,3,18
EAST COMPTON,1960003A,741,178,N,0,VBM PORTION,28,4,11,3,9
EAST COMPTON,1960003A,741,178,N,1162,TOTAL,75,14,17,6,27
EAST COMPTON,1960006A,6044,178,Y,0,POLLING PLACE,0,0,0,0,0
EAST COMPTON,1960006A,6044,178,Y,0,VBM PORTION,0,0,0,0,0
EAST COMPTON,1960006A,6044,178,Y,0,TOTAL,0,0,0,0,0
EAST COMPTON,1960007A,742,178,N,826,POLLING PLACE,57,10,9,5,28
EAST COMPTON,1960007A,742,178,N,0,VBM PORTION,24,5,5,5,9
EAST COMPTON,1960007A,742,178,N,826,TOTAL,81,15,14,10,37
EAST COMPTON,1960010A,743,178,N,722,POLLING PLACE,31,8,3,2,17
EAST COMPTON,1960010A,743,178,N,0,VBM PORTION,34,9,6,5,14
EAST COMPTON,1960010A,743,178,N,722,TOTAL,65,17,9,7,31
EAST COMPTON,1960011A,744,178,N,754,POLLING PLACE,62,12,9,15,24
EAST COMPTON,1960011A,744,178,N,0,VBM PORTION,21,8,3,5,3
EAST COMPTON,1960011A,744,178,N,754,TOTAL,83,20,12,20,27
EAST COMPTON,1960032A,745,178,N,1133,POLLING PLACE,66,22,7,2,26
EAST COMPTON,1960032A,745,178,N,0,VBM PORTION,20,8,2,5,4
EAST COMPTON,1960032A,745,178,N,1133,TOTAL,86,30,9,7,30
LONG BEACH,3850001A,1408,178,N,1060,POLLING PLACE,60,9,7,20,20
LONG BEACH,3850001A,1408,178,N,0,VBM PORTION,51,5,2,17,23
LONG BEACH,3850001A,1408,178,N,1060,TOTAL,111,14,9,37,43
LONG BEACH,3850001C,6089,178,Y,4,POLLING PLACE,0,0,0,0,0
LONG BEACH,3850001C,6089,178,Y,0,VBM PORTION,1,0,0,1,0
LONG BEACH,3850001C,6089,178,Y,4,TOTAL,1,0,0,1,0
LONG BEACH,3850001D,6090,178,Y,1,POLLING PLACE,0,0,0,0,0
LONG BEACH,3850001D,6090,178,Y,0,VBM PORTION,0,0,0,0,0
LONG BEACH,3850001D,6090,178,Y,1,TOTAL,0,0,0,0,0
LONG BEACH,3850001E,6091,178,Y,0,POLLING PLACE,0,0,0,0,0
LONG BEACH,3850001E,6091,178,Y,0,VBM PORTION,0,0,0,0,0
LONG BEACH,3850001E,6091,178,Y,0,TOTAL,0,0,0,0,0
LONG BEACH,3850004A,1410,178,N,1206,POLLING PLACE,99,25,9,36,23
LONG BEACH,3850004A,1410,178,N,0,VBM PORTION,57,10,2,23,18
LONG BEACH,3850004A,1410,178,N,1206,TOTAL,156,35,11,59,41
LONG BEACH,3850005A,1411,178,N,1062,POLLING PLACE,86,14,7,40,21
