LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,PHIL WYMAN,DAVID KING,ORLY TAITZ,KAMALA D HARRIS,JOHN HAGGERTY,JONATHAN JAECH,RONALD GOLD
ALHAMBRA,0150064A,57,76,N,1230,TOTAL,159,8,9,4,95,4,0,16
ALHAMBRA,0150067A,58,76,N,968,POLLING PLACE,88,3,5,4,46,2,1,14
ALHAMBRA,0150067A,58,76,N,0,VBM PORTION,90,7,10,3,38,8,0,15
ALHAMBRA,0150067A,58,76,N,968,TOTAL,178,10,15,7,84,10,1,29
ALHAMBRA,0150075A,59,76,N,1134,POLLING PLACE,116,4,9,3,63,10,0,16
ALHAMBRA,0150075A,59,76,N,0,VBM PORTION,80,4,9,2,31,1,0,17
ALHAMBRA,0150075A,59,76,N,1134,TOTAL,196,8,18,5,94,11,0,33
ALHAMBRA,0150079A,60,76,N,984,POLLING PLACE,64,4,7,4,24,4,0,5
ALHAMBRA,0150079A,60,76,N,0,VBM PORTION,154,8,38,0,54,12,1,9
ALHAMBRA,0150079A,60,76,N,984,TOTAL,218,12,45,4,78,16,1,14
ALHAMBRA,0150080A,61,76,N,851,POLLING PLACE,73,4,4,3,39,6,0,7
ALHAMBRA,0150080A,61,76,N,0,VBM PORTION,70,6,10,0,29,2,0,12
ALHAMBRA,0150080A,61,76,N,851,TOTAL,143,10,14,3,68,8,0,19
ALONDRA PARK,0180001A,62,162,N,963,POLLING PLACE,35,4,0,1,19,4,0,4
ALONDRA PARK,0180001A,62,162,N,0,VBM PORTION,34,7,1,0,17,0,2,7
ALONDRA PARK,0180001A,62,162,N,963,TOTAL,69,11,1,1,36,4,2,11
ALTADENA,0200001A,63,33,N,500,POLLING PLACE,71,2,2,1,55,1,2,5
ALTADENA,0200001A,63,33,N,0,VBM PORTION,47,1,3,1,37,0,0,1
ALTADENA,0200001A,63,33,N,500,TOTAL,118,3,5,2,92,1,2,6
ALTADENA,0200002A,64,33,N,692,POLLING PLACE,60,5,2,0,35,2,1,8
ALTADENA,0200002A,64,33,N,0,VBM PORTION,92,10,5,1,50,2,5,7
ALTADENA,0200002A,64,33,N,692,TOTAL,152,15,7,1,85,4,6,15
ALTADENA,0200003A,65,33,N,854,POLLING PLACE,91,4,0,2,76,0,0,4
ALTADENA,0200003A,65,33,N,0,VBM PORTION,70,1,1,1,55,0,2,3
ALTADENA,0200003A,65,33,N,854,TOTAL,161,5,1,3,131,0,2,7
ALTADENA,0200004A,66,33,N,1191,POLLING PLACE,154,14,4,2,87,6,0,20
ALTADENA,0200004A,66,33,N,0,VBM PORTION,183,19,24,4,76,8,1,17
ALTADENA,0200004A,66,33,N,1191,TOTAL,337,33,28,6,163,14,1,37
ALTADENA,0200007A,67,33,N,1112,POLLING PLACE,116,6,9,2,66,3,2,12
ALTADENA,0200007A,67,33,N,0,VBM PORTION,131,5,19,4,76,2,1,13
