LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ALAN REYNOLDS,GEORGE YANG,ERIC KOREVAAR,DAVID FENNELL,AMOS JOHNSON,GAVIN NEWSOM,RON NEHRING,JENA F GOODMAN
ALTADENA,0200009A,69,33,N,969,POLLING PLACE,89,3,5,5,2,0,60,7,2
ALTADENA,0200009A,69,33,N,0,VBM PORTION,62,1,4,2,1,1,44,3,0
ALTADENA,0200009A,69,33,N,969,TOTAL,151,4,9,7,3,1,104,10,2
ALTADENA,0200011A,70,33,N,860,POLLING PLACE,77,1,1,5,3,2,49,9,3
ALTADENA,0200011A,70,33,N,0,VBM PORTION,101,1,4,2,2,5,71,8,3
ALTADENA,0200011A,70,33,N,860,TOTAL,178,2,5,7,5,7,120,17,6
ALTADENA,0200012A,71,33,N,819,POLLING PLACE,94,2,7,4,5,2,58,13,2
ALTADENA,0200012A,71,33,N,0,VBM PORTION,100,0,4,1,10,2,65,13,0
ALTADENA,0200012A,71,33,N,819,TOTAL,194,2,11,5,15,4,123,26,2
ALTADENA,0200013A,72,33,N,931,POLLING PLACE,63,0,1,8,0,0,44,2,2
ALTADENA,0200013A,72,33,N,0,VBM PORTION,46,0,0,3,0,1,33,4,0
ALTADENA,0200013A,72,33,N,931,TOTAL,109,0,1,11,0,1,77,6,2
ALTADENA,0200015A,73,33,N,1366,POLLING PLACE,103,1,5,6,1,0,65,8,1
ALTADENA,0200015A,73,33,N,0,VBM PORTION,106,3,2,9,4,0,65,10,2
ALTADENA,0200015A,73,33,N,1366,TOTAL,209,4,7,15,5,0,130,18,3
ALTADENA,0200017A,74,33,N,1002,POLLING PLACE,55,0,2,5,1,1,37,2,2
ALTADENA,0200017A,74,33,N,0,VBM PORTION,59,1,4,8,0,0,34,3,2
ALTADENA,0200017A,74,33,N,1002,TOTAL,114,1,6,13,1,1,71,5,4
ALTADENA,0200018A,75,33,N,852,POLLING PLACE,54,0,1,4,1,2,39,0,4
ALTADENA,0200018A,75,33,N,0,VBM PORTION,39,2,1,5,1,3,20,6,0
ALTADENA,0200018A,75,33,N,852,TOTAL,93,2,2,9,2,5,59,6,4
ALTADENA,0200019B,76,33,N,872,POLLING PLACE,57,2,4,3,1,0,36,5,0
ALTADENA,0200019B,76,33,N,0,VBM PORTION,24,0,0,0,0,0,19,4,0
ALTADENA,0200019B,76,33,N,872,TOTAL,81,2,4,3,1,0,55,9,0
ALTADENA,0200022A,77,33,N,866,POLLING PLACE,122,1,4,1,7,0,79,20,1
ALTADENA,0200022A,77,33,N,0,VBM PORTION,121,0,3,6,8,0,80,18,1
ALTADENA,0200022A,77,33,N,866,TOTAL,243,1,7,7,15,0,159,38,2
ALTADENA,0200025B,78,33,N,915,POLLING PLACE,84,1,7,8,1,2,56,5,1
ALTADENA,0200025B,78,33,N,0,VBM PORTION,52,0,3,3,0,1,39,1,1
ALTADENA,0200025B,78,33,N,915,TOTAL,136,1,10,11,1,3,95,6,2
ALTADENA,0200028A,79,33,N,1306,POLLING PLACE,207,0,7,8,6,0,140,29,2
ALTADENA,0200028A,79,33,N,0,VBM PORTION,206,0,7,7,9,3,134,23,2
ALTADENA,0200028A,79,33,N,1306,TOTAL,413,0,14,15,15,3,274,52,4
