LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,AUTUMN BURKE,PAUL KOURI,SIMONA A FARRISE,ADAM M PLIMPTON,TED J GROSE,GLORIA GRAY,EMIDIO SOLTYSIK,MIKE STEVENS
HAWTHORNE,2700041A,1064,162,N,1271,TOTAL,273,47,7,25,6,117,29,4,1
HAWTHORNE,2700043A,1065,162,N,1201,POLLING PLACE,56,17,4,5,2,11,13,1,2
HAWTHORNE,2700043A,1065,162,N,0,VBM PORTION,48,13,0,15,0,6,10,1,0
HAWTHORNE,2700043A,1065,162,N,1201,TOTAL,104,30,4,20,2,17,23,2,2
HAWTHORNE,2700051A,1066,162,N,1215,POLLING PLACE,47,22,0,7,0,4,5,1,2
HAWTHORNE,2700051A,1066,162,N,0,VBM PORTION,35,15,3,3,4,4,3,3,0
HAWTHORNE,2700051A,1066,162,N,1215,TOTAL,82,37,3,10,4,8,8,4,2
HAWTHORNE,2700090A,1067,162,N,995,POLLING PLACE,52,16,2,17,0,2,6,1,1
HAWTHORNE,2700090A,1067,162,N,0,VBM PORTION,45,21,0,2,1,8,7,1,3
HAWTHORNE,2700090A,1067,162,N,995,TOTAL,97,37,2,19,1,10,13,2,4
HAWTHORNE,2700091A,1068,162,N,975,POLLING PLACE,48,17,0,5,0,9,9,3,3
HAWTHORNE,2700091A,1068,162,N,0,VBM PORTION,24,11,0,3,0,5,2,0,0
HAWTHORNE,2700091A,1068,162,N,975,TOTAL,72,28,0,8,0,14,11,3,3
HAWTHORNE,2700092A,1069,163,N,1149,POLLING PLACE,138,77,2,12,1,4,26,1,0
HAWTHORNE,2700092A,1069,163,N,0,VBM PORTION,99,68,1,3,1,2,18,1,3
HAWTHORNE,2700092A,1069,163,N,1149,TOTAL,237,145,3,15,2,6,44,2,3
HAWTHORNE,2700094A,1070,163,N,1012,POLLING PLACE,170,96,1,16,0,7,36,1,0
HAWTHORNE,2700094A,1070,163,N,0,VBM PORTION,98,53,1,7,0,3,25,1,0
HAWTHORNE,2700094A,1070,163,N,1012,TOTAL,268,149,2,23,0,10,61,2,0
HAWTHORNE,2700101A,1071,162,N,871,POLLING PLACE,79,29,1,10,1,14,11,2,2
HAWTHORNE,2700101A,1071,162,N,0,VBM PORTION,34,10,1,7,0,6,4,2,1
HAWTHORNE,2700101A,1071,162,N,871,TOTAL,113,39,2,17,1,20,15,4,3
HAWTHORNE,2700103B,1072,162,N,1214,POLLING PLACE,89,18,2,13,1,29,17,1,1
HAWTHORNE,2700103B,1072,162,N,0,VBM PORTION,58,14,0,13,1,15,9,0,0
HAWTHORNE,2700103B,1072,162,N,1214,TOTAL,147,32,2,26,2,44,26,1,1
HAWTHORNE,2700105A,1073,162,N,1103,POLLING PLACE,55,24,4,7,0,3,11,2,1
HAWTHORNE,2700105A,1073,162,N,0,VBM PORTION,39,16,1,1,1,3,9,0,3
HAWTHORNE,2700105A,1073,162,N,1103,TOTAL,94,40,5,8,1,6,20,2,4
HAWTHORNE,2700106A,1074,162,N,1168,POLLING PLACE,61,28,3,7,0,6,9,0,2
HAWTHORNE,2700106A,1074,162,N,0,VBM PORTION,44,12,0,8,2,7,8,0,1
HAWTHORNE,2700106A,1074,162,N,1168,TOTAL,105,40,3,15,2,13,17,0,3
HAWTHORNE,2700109A,1075,162,N,985,POLLING PLACE,80,27,1,10,0,25,10,1,1
HAWTHORNE,2700109A,1075,162,N,0,VBM PORTION,81,18,1,6,2,30,13,0,1
HAWTHORNE,2700109A,1075,162,N,985,TOTAL,161,45,2,16,2,55,23,1,2
HAWTHORNE,2700116A,1076,162,N,1090,POLLING PLACE,42,21,2,3,0,2,8,1,3
HAWTHORNE,2700116A,1076,162,N,0,VBM PORTION,29,10,1,5,0,6,4,1,0
HAWTHORNE,2700116A,1076,162,N,1090,TOTAL,71,31,3,8,0,8,12,2,3
INGLEWOOD,2950001A,1107,162,N,994,POLLING PLACE,169,82,1,14,1,7,34,0,11
INGLEWOOD,2950001A,1107,162,N,0,VBM PORTION,84,46,2,4,0,2,20,0,4
INGLEWOOD,2950001A,1107,162,N,994,TOTAL,253,128,3,18,1,9,54,0,15
INGLEWOOD,2950002A,1108,160,N,1133,POLLING PLACE,86,37,0,13,1,4,21,1,4
INGLEWOOD,2950002A,1108,160,N,0,VBM PORTION,54,21,3,13,1,2,9,1,1
INGLEWOOD,2950002A,1108,160,N,1133,TOTAL,140,58,3,26,2,6,30,2,5
INGLEWOOD,2950003A,1109,162,N,599,POLLING PLACE,68,49,0,5,0,2,7,0,2
INGLEWOOD,2950003A,1109,162,N,0,VBM PORTION,53,31,0,10,0,0,8,2,0
INGLEWOOD,2950003A,1109,162,N,599,TOTAL,121,80,0,15,0,2,15,2,2
INGLEWOOD,2950004A,1110,162,N,563,POLLING PLACE,76,48,1,6,1,0,16,1,1
INGLEWOOD,2950004A,1110,162,N,0,VBM PORTION,55,30,1,8,0,0,6,0,3
INGLEWOOD,2950004A,1110,162,N,563,TOTAL,131,78,2,14,1,0,22,1,4
INGLEWOOD,2950005A,1111,162,N,592,POLLING PLACE,25,8,0,9,1,3,4,0,0
INGLEWOOD,2950005A,1111,162,N,0,VBM PORTION,22,7,0,3,0,7,1,3,0
INGLEWOOD,2950005A,1111,162,N,592,TOTAL,47,15,0,12,1,10,5,3,0
INGLEWOOD,2950006B,1112,162,N,817,POLLING PLACE,80,44,1,11,0,1,13,0,3
INGLEWOOD,2950006B,1112,162,N,0,VBM PORTION,70,35,1,3,1,4,16,1,4
INGLEWOOD,2950006B,1112,162,N,817,TOTAL,150,79,2,14,1,5,29,1,7
INGLEWOOD,2950007A,1113,162,N,1140,POLLING PLACE,69,36,0,10,0,7,11,0,3
INGLEWOOD,2950007A,1113,162,N,0,VBM PORTION,53,24,0,11,1,2,8,0,1
INGLEWOOD,2950007A,1113,162,N,1140,TOTAL,122,60,0,21,1,9,19,0,4
INGLEWOOD,2950008A,1114,162,N,955,POLLING PLACE,160,77,0,13,0,1,35,0,17
INGLEWOOD,2950008A,1114,162,N,0,VBM PORTION,68,30,0,9,0,4,11,0,9
INGLEWOOD,2950008A,1114,162,N,955,TOTAL,228,107,0,22,0,5,46,0,26
INGLEWOOD,2950009B,1115,162,N,1096,POLLING PLACE,139,54,1,24,1,1,36,0,15
INGLEWOOD,2950009B,1115,162,N,0,VBM PORTION,109,54,0,11,0,3,22,1,11
INGLEWOOD,2950009B,1115,162,N,1096,TOTAL,248,108,1,35,1,4,58,1,26
INGLEWOOD,2950010A,1116,162,N,1114,POLLING PLACE,145,65,3,17,0,2,37,0,15
INGLEWOOD,2950010A,1116,162,N,0,VBM PORTION,99,57,0,11,0,1,21,0,5
INGLEWOOD,2950010A,1116,162,N,1114,TOTAL,244,122,3,28,0,3,58,0,20
INGLEWOOD,2950011A,1117,162,N,787,POLLING PLACE,186,114,0,12,1,5,36,0,4
INGLEWOOD,2950011A,1117,162,N,0,VBM PORTION,87,58,1,14,0,0,10,1,1
INGLEWOOD,2950011A,1117,162,N,787,TOTAL,273,172,1,26,1,5,46,1,5
INGLEWOOD,2950013B,1118,162,N,950,POLLING PLACE,91,39,1,10,1,3,30,2,1
INGLEWOOD,2950013B,1118,162,N,0,VBM PORTION,62,26,2,7,1,4,13,0,2
INGLEWOOD,2950013B,1118,162,N,950,TOTAL,153,65,3,17,2,7,43,2,3
INGLEWOOD,2950014B,1119,162,N,926,POLLING PLACE,126,64,0,14,0,2,29,0,8
INGLEWOOD,2950014B,1119,162,N,0,VBM PORTION,83,39,1,15,1,4,11,3,6
INGLEWOOD,2950014B,1119,162,N,926,TOTAL,209,103,1,29,1,6,40,3,14
INGLEWOOD,2950015B,1120,162,N,626,POLLING PLACE,68,38,0,1,0,3,17,0,2
INGLEWOOD,2950015B,1120,162,N,0,VBM PORTION,51,32,0,4,0,0,4,0,9
INGLEWOOD,2950015B,1120,162,N,626,TOTAL,119,70,0,5,0,3,21,0,11
INGLEWOOD,2950016B,1121,162,N,816,POLLING PLACE,91,40,1,7,0,2,20,0,9
INGLEWOOD,2950016B,1121,162,N,0,VBM PORTION,66,39,0,1,0,1,16,0,6
INGLEWOOD,2950016B,1121,162,N,816,TOTAL,157,79,1,8,0,3,36,0,15
INGLEWOOD,2950017A,1122,162,N,952,POLLING PLACE,58,36,1,5,1,2,9,0,1
INGLEWOOD,2950017A,1122,162,N,0,VBM PORTION,56,29,1,8,0,3,9,0,0
INGLEWOOD,2950017A,1122,162,N,952,TOTAL,114,65,2,13,1,5,18,0,1
INGLEWOOD,2950018A,1123,162,N,1197,POLLING PLACE,187,86,1,28,1,3,52,0,6
INGLEWOOD,2950018A,1123,162,N,0,VBM PORTION,130,47,1,18,1,3,38,0,14
INGLEWOOD,2950018A,1123,162,N,1197,TOTAL,317,133,2,46,2,6,90,0,20
INGLEWOOD,2950019A,1124,162,N,1243,POLLING PLACE,27,11,1,5,0,3,4,0,1
INGLEWOOD,2950019A,1124,162,N,0,VBM PORTION,30,19,0,2,1,1,4,1,0
INGLEWOOD,2950019A,1124,162,N,1243,TOTAL,57,30,1,7,1,4,8,1,1
INGLEWOOD,2950020A,1125,162,N,1078,POLLING PLACE,136,58,0,14,0,9,30,0,8
