LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,WILLIAM MORRISON,PETER CHOI,KEVIN DE LEON
LOS ANGELES,9000601A,3344,79,N,868,POLLING PLACE,54,9,3,39
LOS ANGELES,9000601A,3344,79,N,0,VBM PORTION,35,5,3,17
LOS ANGELES,9000601A,3344,79,N,868,TOTAL,89,14,6,56
LOS ANGELES,9000602B,3345,90,N,1005,POLLING PLACE,35,3,6,23
LOS ANGELES,9000602B,3345,90,N,0,VBM PORTION,37,2,6,23
LOS ANGELES,9000602B,3345,90,N,1005,TOTAL,72,5,12,46
LOS ANGELES,9000605A,3346,90,N,1285,POLLING PLACE,68,7,16,40
LOS ANGELES,9000605A,3346,90,N,0,VBM PORTION,81,11,16,47
LOS ANGELES,9000605A,3346,90,N,1285,TOTAL,149,18,32,87
LOS ANGELES,9000608A,3349,99,N,943,POLLING PLACE,77,8,8,45
LOS ANGELES,9000608A,3349,99,N,0,VBM PORTION,55,9,11,27
LOS ANGELES,9000608A,3349,99,N,943,TOTAL,132,17,19,72
LOS ANGELES,9000610A,3350,42,N,1215,POLLING PLACE,96,10,24,57
LOS ANGELES,9000610A,3350,42,N,0,VBM PORTION,53,5,14,28
LOS ANGELES,9000610A,3350,42,N,1215,TOTAL,149,15,38,85
LOS ANGELES,9000659A,3372,41,N,684,POLLING PLACE,36,2,11,20
LOS ANGELES,9000659A,3372,41,N,0,VBM PORTION,61,7,30,17
LOS ANGELES,9000659A,3372,41,N,684,TOTAL,97,9,41,37
LOS ANGELES,9000662C,3373,41,N,312,POLLING PLACE,5,1,2,2
LOS ANGELES,9000662C,3373,41,N,0,VBM PORTION,4,0,0,4
LOS ANGELES,9000662C,3373,41,N,312,TOTAL,9,1,2,6
LOS ANGELES,9000679A,3377,89,N,1123,POLLING PLACE,93,19,14,55
LOS ANGELES,9000679A,3377,89,N,0,VBM PORTION,88,11,21,50
LOS ANGELES,9000679A,3377,89,N,1123,TOTAL,181,30,35,105
