LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,ARTURO E ALAS,GRACE F NAPOLITANO
DUARTE,1900015B,729,70,N,806,TOTAL,102,27,64
DUARTE,1900021C,730,70,N,995,POLLING PLACE,92,37,52
DUARTE,1900021C,730,70,N,0,VBM PORTION,108,40,59
DUARTE,1900021C,730,70,N,995,TOTAL,200,77,111
EAST ARCADIA,1940001A,731,68,N,1015,POLLING PLACE,54,10,40
EAST ARCADIA,1940001A,731,68,N,0,VBM PORTION,23,5,12
EAST ARCADIA,1940001A,731,68,N,1015,TOTAL,77,15,52
EAST ARCADIA,1940002A,732,68,N,987,POLLING PLACE,110,47,49
EAST ARCADIA,1940002A,732,68,N,0,VBM PORTION,71,29,38
EAST ARCADIA,1940002A,732,68,N,987,TOTAL,181,76,87
EAST ARCADIA,1940004A,733,68,N,445,POLLING PLACE,66,31,28
EAST ARCADIA,1940004A,733,68,N,0,VBM PORTION,45,19,22
EAST ARCADIA,1940004A,733,68,N,445,TOTAL,111,50,50
EAST ARCADIA,1940005A,734,77,N,1048,POLLING PLACE,105,42,50
EAST ARCADIA,1940005A,734,77,N,0,VBM PORTION,102,33,57
EAST ARCADIA,1940005A,734,77,N,1048,TOTAL,207,75,107
EAST ARCADIA,1940007A,735,77,N,555,POLLING PLACE,47,29,15
EAST ARCADIA,1940007A,735,77,N,0,VBM PORTION,37,14,22
EAST ARCADIA,1940007A,735,77,N,555,TOTAL,84,43,37
EAST ARCADIA,1940008A,736,68,N,870,POLLING PLACE,51,2,42
EAST ARCADIA,1940008A,736,68,N,0,VBM PORTION,21,3,12
EAST ARCADIA,1940008A,736,68,N,870,TOTAL,72,5,54
EAST ARCADIA,1940011A,738,68,N,1013,POLLING PLACE,117,61,44
EAST ARCADIA,1940011A,738,68,N,0,VBM PORTION,86,43,39
EAST ARCADIA,1940011A,738,68,N,1013,TOTAL,203,104,83
EL MONTE,2100001A,795,73,N,1136,POLLING PLACE,69,16,46
EL MONTE,2100001A,795,73,N,0,VBM PORTION,94,24,63
EL MONTE,2100001A,795,73,N,1136,TOTAL,163,40,109
EL MONTE,2100005A,796,73,N,1064,POLLING PLACE,44,3,29
EL MONTE,2100005A,796,73,N,0,VBM PORTION,60,18,36
EL MONTE,2100005A,796,73,N,1064,TOTAL,104,21,65
EL MONTE,2100006B,797,73,N,1075,POLLING PLACE,106,22,72
EL MONTE,2100006B,797,73,N,0,VBM PORTION,52,7,40
EL MONTE,2100006B,797,73,N,1075,TOTAL,158,29,112
