LOCATION,PRECINCT,SERIAL,BALLOT GROUP,VOTE BY MAIL ONLY,REGISTRATION,TYPE,BALLOTS CAST,BETTY T YEE,LAURA WELLS,TAMMY D BLAIR,JOHN A PEREZ,DAVID EVANS,ASHLEY SWEARENGIN
ALTADENA,0200001A,63,33,N,500,POLLING PLACE,71,24,3,3,22,5,9
ALTADENA,0200001A,63,33,N,0,VBM PORTION,47,16,5,7,11,1,5
ALTADENA,0200001A,63,33,N,500,TOTAL,118,40,8,10,33,6,14
ALTADENA,0200002A,64,33,N,692,POLLING PLACE,60,13,0,2,19,7,15
ALTADENA,0200002A,64,33,N,0,VBM PORTION,92,25,5,2,17,11,25
ALTADENA,0200002A,64,33,N,692,TOTAL,152,38,5,4,36,18,40
ALTADENA,0200003A,65,33,N,854,POLLING PLACE,91,33,2,5,21,11,9
ALTADENA,0200003A,65,33,N,0,VBM PORTION,70,20,1,7,28,2,4
ALTADENA,0200003A,65,33,N,854,TOTAL,161,53,3,12,49,13,13
ALTADENA,0200004A,66,33,N,1191,POLLING PLACE,154,39,2,4,25,20,45
ALTADENA,0200004A,66,33,N,0,VBM PORTION,183,33,8,1,28,23,69
ALTADENA,0200004A,66,33,N,1191,TOTAL,337,72,10,5,53,43,114
ALTADENA,0200007A,67,33,N,1112,POLLING PLACE,116,35,7,4,19,18,22
ALTADENA,0200007A,67,33,N,0,VBM PORTION,131,27,4,4,32,14,35
ALTADENA,0200007A,67,33,N,1112,TOTAL,247,62,11,8,51,32,57
ALTADENA,0200008A,68,33,N,873,POLLING PLACE,77,29,2,2,26,2,4
ALTADENA,0200008A,68,33,N,0,VBM PORTION,58,17,6,9,17,0,3
ALTADENA,0200008A,68,33,N,873,TOTAL,135,46,8,11,43,2,7
ALTADENA,0200009A,69,33,N,969,POLLING PLACE,89,37,11,1,16,9,6
ALTADENA,0200009A,69,33,N,0,VBM PORTION,62,25,4,4,13,5,7
ALTADENA,0200009A,69,33,N,969,TOTAL,151,62,15,5,29,14,13
ALTADENA,0200011A,70,33,N,860,POLLING PLACE,77,31,6,3,17,9,4
ALTADENA,0200011A,70,33,N,0,VBM PORTION,101,33,6,11,32,5,6
ALTADENA,0200011A,70,33,N,860,TOTAL,178,64,12,14,49,14,10
ALTADENA,0200012A,71,33,N,819,POLLING PLACE,94,34,1,1,17,7,27
ALTADENA,0200012A,71,33,N,0,VBM PORTION,100,33,0,2,17,14,23
ALTADENA,0200012A,71,33,N,819,TOTAL,194,67,1,3,34,21,50
ALTADENA,0200013A,72,33,N,931,POLLING PLACE,63,23,7,4,15,3,4
ALTADENA,0200013A,72,33,N,0,VBM PORTION,46,21,3,3,10,1,4
ALTADENA,0200013A,72,33,N,931,TOTAL,109,44,10,7,25,4,8
ALTADENA,0200015A,73,33,N,1366,POLLING PLACE,103,50,1,6,17,3,10
ALTADENA,0200015A,73,33,N,0,VBM PORTION,106,38,0,8,27,6,10
